case,variant,hops,lrc_count,adjacent_violation_max,adjacent_violation_mean,adjacent_abs_residual_max,jitter_rms_last30,quality_score,ms_per_frame,us_per_substep,elapsed_s
vertical_one_pin,baseline,,0,0.0079466812312603,0.002225414616987109,0.0079466812312603,0.005093300715088844,0.009220005944371223,5.425147890734176,1356.286972683544,1.3020354937762022
vertical_one_pin,slide_hop3_stride4,3,24,0.00787205621600151,0.0022071890998631716,0.00787205621600151,0.004998498130589724,0.00912168063223362,5.700587019479523,1425.1467548698809,1.3681408846750855
vertical_one_pin,slide_multiscale_stride8,3 7 15,35,0.007487010210752487,0.0020050338935106993,0.007487010210752487,0.0042413086630403996,0.008547337725758553,5.675469249642144,1418.867312410536,1.3621126199141145
vertical_one_pin,pin_star_odd_k1e3,,47,0.0016750805079936981,0.0003475197299849242,0.0016750805079936981,0.00013017836317885667,0.0017076251097023487,5.581439507659525,1395.3598769148812,1.339545481838286
vertical_one_pin,pin_star_sparse_k2e3,,23,0.0016812793910503387,0.00035758395097218454,0.0016812793910503387,0.00013582859537564218,0.0017152365762740374,5.674052428609381,1418.5131071523454,1.3617725828662515
vertical_one_pin,hard_pin_star_sparse,,23,0.008537132292985916,0.0008219456067308784,0.008537132292985916,0.0169623214751482,0.012777712196111679,5.665145309952398,1416.2863274880995,1.3596348743885756
vertical_one_pin,pin_star_sparse_k3e5,,23,0.00048227235674858093,9.930061787599698e-05,0.00048227235674858093,1.3132974707730227e-08,0.00048227564548142254,5.608343170024455,1402.0857925061136,1.346002360805869
horizontal_one_pin,baseline,,0,0.018633712083101273,0.0029011161532253027,0.018633712083101273,0.033369600772857666,0.02697611227631569,5.0950610350507,1273.765258762675,1.222814648412168
horizontal_one_pin,slide_hop3_stride4,3,24,0.01850893720984459,0.0028816985432058573,0.01850893720984459,0.03321639820933342,0.02681303769350052,5.558623800364633,1389.6559500911583,1.334069712087512
horizontal_one_pin,slide_multiscale_stride8,3 7 15,35,0.01756361499428749,0.0026895226910710335,0.01756361499428749,0.031869061291217804,0.025530880317091942,5.629471456632018,1407.3678641580045,1.3510731495916843
horizontal_one_pin,pin_star_odd_k1e3,,47,0.00743570551276207,0.001603466342203319,0.00743570551276207,0.027694541960954666,0.014359341003000736,5.656907905358821,1414.2269763397053,1.357657897286117
horizontal_one_pin,pin_star_sparse_k2e3,,23,0.007988974452018738,0.0016048975521698594,0.007988974452018738,0.027659736573696136,0.014903908595442772,5.610404916418095,1402.6012291045238,1.346497179940343
horizontal_one_pin,hard_pin_star_sparse,,23,0.012594830244779587,0.0014509110478684306,0.012594830244779587,0.03118118830025196,0.02039012685418129,5.622241013528158,1405.5602533820395,1.349337843246758
horizontal_one_pin,pin_star_sparse_k3e5,,23,0.005478747189044952,0.0013211577897891402,0.005478747189044952,0.02403273992240429,0.011486932635307312,5.557177332229912,1389.294333057478,1.333722559735179
two_pin,baseline,,0,0.00983932614326477,0.0031959174666553736,0.00983932614326477,0.012610764242708683,0.012992016971111298,5.088876145115743,1272.2190362789358,1.2213302748277783
two_pin,slide_hop3_stride4,3,24,0.009817682206630707,0.0031793834641575813,0.009817682206630707,0.012566838413476944,0.012959391809999943,5.553425336256623,1388.3563340641558,1.3328220807015896
two_pin,slide_multiscale_stride8,3 7 15,35,0.009488575160503387,0.0030185929499566555,0.009488575160503387,0.012090827338397503,0.012511282227933407,5.559380600849788,1389.845150212447,1.334251344203949
two_pin,pin_star_odd_k1e3,,93,0.0042661018669605255,0.0016847429797053337,0.0042661018669605255,0.00930722150951624,0.006592907011508942,5.67246947515135,1418.1173687878374,1.361392674036324
two_pin,pin_star_sparse_k2e3,,46,0.004277311265468597,0.0016874875873327255,0.004277311265468597,0.009291158057749271,0.006600100547075272,5.607253347989172,1401.813336997293,1.3457408035174012
two_pin,hard_pin_star_sparse,,46,4.558669090270996,0.5475065112113953,4.558669090270996,13.298257827758789,7.883233547210693,5.593858818368365,1398.4647045920913,1.3425261164084077
two_pin,pin_star_sparse_k3e5,,46,0.0047065988183021545,0.0003712245961651206,0.0047065988183021545,0.000343638559570536,0.004792508669197559,5.60141932995369,1400.3548324884225,1.3443406391888857
